职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
运营专员,民营,100-499人,2019-09-20 00:52:30,学历不限,互联网产品/运营管理,不限,南京百创教育培训中心,4K-8K,南京,五险一金绩效奖金全勤奖餐补通讯补助
天猫运营专员,民营,20人以下,2019-09-20 00:50:27,大专,互联网产品/运营管理,1-3年,深圳市天然时钟表珠宝有限公司,8K-15K,深圳,五险一金年底双薪绩效奖金免费停车通讯补助
线上运营专员,民营,100-499人,2019-09-20 00:51:30,大专,互联网产品/运营管理,1-3年,武汉侠尊蟹将餐饮有限公司,6K-8.9K,武汉-洪山区,绩效奖金五险一金带薪年假包住包吃
运营专员,民营,100-499人,2019-09-20 00:52:30,学历不限,互联网产品/运营管理,不限,南京百创教育培训中心,4K-8K,南京,五险一金绩效奖金全勤奖餐补通讯补助
运营专员,民营,100-499人,2019-09-20 00:52:30,本科,互联网产品/运营管理,1-3年,上海好医通健康信息咨询有限公司,6K-8K,杭州,五险一金绩效奖金带薪年假定期体检节日福利
新媒体运营专员（短视频）,民营,20-99人,2019-09-20 14:04:35,大专,互联网产品/运营管理,1-3年,世贸通科技电子商务(深圳)有限公司,6K-8K,深圳,五险一金周末双休餐补弹性工作带薪年假
阿里巴巴国际站客户运营专员,股份制企业,20-99人,2019-09-20 00:52:42,大专,客服/售前/售后技术支持,1-3年,江西览众科技有限公司,4K-8K,宜春-袁州区,五险一金带薪年假员工旅游节日福利周末双休
孵化器运营专员/主管,民营,100-499人,2019-09-20 00:52:56,大专,市场,1-3年,大连新青年投资有限公司,4K-6K,大连-金州区,每年多次调薪五险一金绩效奖金包吃节日福利
市场运营专员,民营,20-99人,2019-09-20 00:51:16,大专,互联网产品/运营管理,1-3年,天津聚知优教育信息咨询有限公司,4K-6K,天津,五险一金员工旅游节日福利周末双休带薪年假
微信推广运营专员,股份制企业,20-99人,2019-09-20 00:50:36,大专,互联网产品/运营管理,1-3年,杭州鑫客巴贸易有限公司,5K-8K,杭州,五险一金年底双薪绩效奖金全勤奖节日福利
社群运营专员,民营,500-999人,2019-09-20 00:51:16,本科,互联网产品/运营管理,3-5年,北京东方之星幼儿教育科技股份有限公司,10K-15K,北京-海淀区,五险一金绩效奖金补充医疗保险定期体检带薪年假
运营专员,民营,500-999人,2019-09-20 00:50:59,本科,互联网产品/运营管理,不限,北京泛生子基因科技有限公司,5K-8K,北京,绩效奖金五险一金餐补定期体检带薪年假
运营专员,民营,100-499人,2019-09-20 00:51:49,本科,互联网产品/运营管理,1-3年,橙色云设计有限公司,10K-15K,北京-朝阳区,五险一金带薪年假定期体检节日福利餐补
小红书运营专员/主管,民营,1000-9999人,2019-09-20 00:51:22,大专,互联网产品/运营管理,3-5年,集韵化妆品(上海)有限公司,6K-12K,上海,五险一金绩效奖金
互联网客户运营专员,民营,20-99人,2019-09-20 00:52:21,大专,互联网产品/运营管理,1-3年,安特百科(北京)技术发展有限公司,4K-6K,北京,五险一金年底双薪交通补助餐补通讯补助
媒体运营专员/经理,国企,100-499人,2019-09-20 00:51:43,本科,互联网产品/运营管理,1-3年,启迪之星(北京)科技企业孵化器有限公司,3K-6K,北京-延庆县,五险一金年底双薪餐补定期体检补充医疗保险
运营专员,民营,100-499人,2019-09-20 14:17:10,大专,互联网产品/运营管理,1-3年,佛山市威耳听力技术有限公司,3K-5K,佛山-禅城区,五险一金节日福利绩效奖金带薪年假加班补助
阿里巴巴国际站站运营专员,民营,20-99人,2019-09-20 14:13:32,大专,互联网产品/运营管理,1-3年,广州楚香工艺品有限公司,5K-10K,广州,全勤奖加班补助绩效奖金带薪年假每年多次调薪
速卖通运营专员,民营,20-99人,2019-09-20 00:50:52,大专,互联网产品/运营管理,不限,深圳市恒德裕科技有限公司,5K-10K,深圳,绩效奖金年底双薪弹性工作节日福利
销售运营专员,民营,20-99人,2019-09-20 14:06:17,学历不限,销售行政/商务,不限,北京臻古堂文化传播有限公司,5K-8K,北京,五险一金年终分红交通补助餐补定期团建
淘宝/天猫/京东运营专员,民营,100-499人,2019-09-20 15:03:02,大专,互联网产品/运营管理,不限,杭州西网信息科技有限公司,6K-8K,杭州-西湖区,绩效奖金全勤奖带薪年假员工旅游高温补贴
跨境电商运营专员,民营,100-499人,2019-09-20 00:50:53,大专,互联网产品/运营管理,1年以下,宁波鲲元电子商务有限公司,4K-6K,宁波,五险一金节日福利餐补交通补助房补
亚马逊运营专员,民营,20-99人,2019-09-20 00:51:20,本科,销售业务,1-3年,深圳市安飒诺科技有限公司,6K-8K,深圳,五险一金全勤奖交通补助房补绩效奖金
保险内勤运营客服专员,股份制企业,100-499人,2019-09-20 00:52:07,本科,保险,不限,民生人寿保险股份有限公司扬州中心支公司,4K-6K,扬州,五险一金绩效奖金餐补带薪年假节日福利
产品运营经理/运营专员+六险,民营,1000-9999人,2019-09-20 15:03:03,大专,销售行政/商务,不限,麦田房产,8K-10K,北京,五险一金定期体检带薪年假员工旅游每年多次调薪
亚马逊运营专员,民营,20-99人,2019-09-20 00:52:54,大专,采购/贸易,不限,深圳市网企商力科技有限公司,5K-10K,深圳,五险一金年底双薪绩效奖金全勤奖带薪年假
新媒体运营专员,民营,100-499人,2019-09-20 00:52:04,学历不限,其他,无经验,安徽美沃门窗科技有限公司,4.5K-6K,芜湖,
渠道运营专员,民营,500-999人,2019-09-20 00:51:43,大专,销售业务,1-3年,浙江海高控股集团有限公司,8K-10K,杭州-滨江区,高温补贴节日福利五险一金年底双薪加班补助
速卖通运营专员,民营,20人以下,2019-09-20 14:05:26,大专,互联网产品/运营管理,不限,广州市七萃翠贸易有限责任公司,4K-8K,广州,全勤奖创业公司绩效奖金五险一金
推广运营专员,不限,20人以下,2019-09-20 00:51:15,学历不限,互联网产品/运营管理,不限,福州业邦通路企业管理顾问有限公司,4K-6K,福州,五险一金绩效奖金股票期权交通补助带薪年假
运营助理/专员,民营,20人以下,2019-09-20 00:50:32,学历不限,互联网产品/运营管理,1-3年,河南仁同汇商贸有限公司,2K-4K,郑州,弹性工作绩效奖金加班补助全勤奖无试用期
网站运营专员社保+提成 ,其它,20人以下,2019-09-20 14:02:25,学历不限,互联网产品/运营管理,1年以下,广州市奔霆贸易有限公司,6K-7K,广州,五险一金绩效奖金节日福利项目奖金包住
天猫运营专员 / 运营主管,民营,100-499人,2019-09-20 14:15:27,学历不限,互联网产品/运营管理,3-5年,北京律动企业管理有限公司,6K-12K,北京-通州区,餐补交通补助员工旅游创业公司五险一金
新媒体运营专员（抖音火山及网站推广，优秀者年收入10万以上）,民营,20人以下,2019-09-20 00:51:21,中专,互联网产品/运营管理,1-3年,安徽佰德隆科技有限公司,4K-6K,合肥,
WISH运营专员,民营,20-99人,2019-09-20 14:12:11,学历不限,互联网产品/运营管理,不限,福州玖邦电子商务有限公司,4K-6K,福州,年底双薪绩效奖金年终分红股票期权加班补助
亚马逊主管、运营专员,民营,20-99人,2019-09-20 00:52:56,大专,互联网产品/运营管理,1年以下,石家庄尚灵假发制品有限公司,4K-6K,石家庄,绩效奖金年终分红全勤奖包住带薪年假
外贸运营专员,民营,20人以下,2019-09-20 14:03:20,本科,销售管理,1-3年,深圳市凯立得电子有限公司,6K-12K,深圳,绩效奖金节日福利创业公司试用期全额五险一金
新媒体运营专员,民营,20-99人,2019-09-20 14:17:03,大专,互联网产品/运营管理,1-3年,中领建业(北京)商务咨询有限公司,6K-8K,北京,五险一金全勤奖年底双薪不加班周末双休
电商运营专员-【日语一级】,外商独资,1000-9999人,2019-09-20 00:51:37,本科,互联网产品/运营管理,不限,亚马逊中国,薪资面议,北京-丰台区,五险一金餐补带薪年假补充医疗保险定期体检
招商运营专员,民营,1000-9999人,2019-09-20 00:51:31,学历不限,销售业务,不限,重庆猪八戒网络有限公司,4K-7K,咸阳,五险一金交通补助餐补定期体检节日福利
网络运营专员,民营,20-99人,2019-09-20 15:00:53,大专,生物/制药/医疗器械,不限,黑龙江省展臣医药有限责任公司,2K-4K,哈尔滨,五险一金加班补助全勤奖包吃节日福利
运营专员,股份制企业,20-99人,2019-09-20 14:18:09,大专,互联网产品/运营管理,不限,浙江飞霞贸易有限责任公司,4K-6K,南京,五险
淘宝运营专员,民营,20-99人,2019-09-20 00:51:16,大专,互联网产品/运营管理,不限,珠海市预见科技有限公司,3K-5K,珠海,每年多次调薪年底双薪周末双休包住五险一金
运营专员,其它,20人以下,2019-09-20 14:14:31,大专,互联网产品/运营管理,不限,深圳市诺丰泰智能科技有限公司,4K-6K,深圳,创业公司五险一金带薪年假节日福利周末双休
运营专员,民营,100-499人,2019-09-20 00:51:22,大专,销售行政/商务,1-3年,智能医疗,4K-7K,北京,五险一金带薪年假补充医疗保险定期体检周末双休
亚马逊运营专员,民营,20-99人,2019-09-20 00:51:30,大专,采购/贸易,1-3年,厦门飞飞鱼电子商务有限公司,5K-10K,厦门,五险一金全勤奖绩效奖金带薪年假
电商运营专员,民营,20人以下,2019-09-20 14:25:22,大专,互联网产品/运营管理,1-3年,青岛易明德跨境电商有限公司,4K-6K,青岛-市南区,五险一金加班补助全勤奖交通补助通讯补助
资深运营专员,民营,100-499人,2019-09-20 00:52:25,本科,互联网产品/运营管理,不限,广州市拉拉米信息科技有限公司,7K-12K,广州-天河区,五险一金绩效奖金全勤奖包吃节日福利
运营专员,股份制企业,1000-9999人,2019-09-20 00:52:23,本科,质量管理/安全防护,1-3年,长春一汽富晟集团有限公司,4K-6K,长春-汽车产业开发区,五险一金定期体检带薪年假高温补贴节日福利
销售运营专员,民营,20-99人,2019-09-20 14:03:27,本科,销售行政/商务,3-5年,中宏嘉业创业投资管理(山东)有限公司,8K-16K,济南-历城区,五险一金绩效奖金带薪年假弹性工作带团队
