职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
法务合规副总经理,国企,20-99人,2019-09-20 09:15:25,硕士,证券/期货/投资管理/服务,5-10年,北京首创财富投资管理有限公司,12K-16K,北京,五险一金绩效奖金带薪年假定期体检员工旅游
百度金融BD专员,民营,100-499人,2019-09-20 10:12:04,大专,销售业务,无经验,福建掌握信息科技发展有限公司,6K-8K,福州-鼓楼区,五险一金年底双薪绩效奖金带薪年假定期体检
法务客服专员,合资,500-999人,2019-09-20 15:02:02,本科,客服/售前/售后技术支持,3-5年,苏州信义置业房产经纪有限公司,6K-8K,苏州,五险一金绩效奖金全勤奖带薪年假弹性工作
销售专员,民营,1000-9999人,2019-09-20 09:49:08,大专,销售业务,不限,南昌传发金融信息服务有限公司,6K-8K,南昌,五险一金周末双休绩效奖金带薪年假节日福利
项目投资经理,民营,20-99人,2019-09-20 15:00:23,本科,证券/期货/投资管理/服务,3-5年,深圳泛娱国际控股有限公司,15K-25K,深圳,
法务专员,合资,20-99人,2019-09-20 14:26:18,本科,律师/法务/合规,3-5年,上海创智空间投资管理集团有限公司,10K-15K,上海,五险一金餐补带薪年假绩效奖金
月薪1万+招聘销售精英,股份制企业,1000-9999人,2019-09-20 10:12:47,高中,其他,无经验,武汉嘉冠商务信息咨询有限公司,6K-8K,武汉,
实习生,民营,1000-9999人,2019-09-20 09:48:19,大专,实习生/培训生/储备干部,无经验,南昌传发金融信息服务有限公司,4K-6K,南昌,周末双休五险一金绩效奖金带薪年假节日福利
汽车金融专员\底薪5100,上市公司,10000人以上,2019-09-20 10:11:04,大专,销售管理,不限,中国平安人寿保险股份有限公司河南分公司营销本部,10K-15K,郑州,周末双休补充医疗保险每年多次调薪绩效奖金出国游
销售代表业务（湖里）,民营,1000-9999人,2019-09-20 09:52:31,中专,销售业务,不限,中安信业创业投资有限公司,6K-8K,厦门-湖里区,五险一金交通补助餐补通讯补助带薪年假
专业投资者事业部业务总监(广州),民营,100-499人,2019-09-20 09:40:47,本科,证券/期货/投资管理/服务,1-3年,国金期货有限责任公司,6K-12K,广州-天河区,五险一金交通补助餐补带薪年假定期体检
车贷客户经理,国企,500-999人,2019-09-20 14:10:29,大专,销售管理,无经验,江苏车发现汽车服务有限公司南京分公司,8K-10K,南京,
周末双休五险一金业务员(惠州江北),民营,1000-9999人,2019-09-20 09:52:47,中技,销售业务,不限,中安信业创业投资有限公司,4K-6K,惠州,五险一金年底双薪交通补助餐补通讯补助
城市负责人,外商独资,100-499人,2019-09-20 09:31:42,本科,证券/期货/投资管理/服务,3-5年,南京卧龙湖置业有限公司,6K-8K,南京,五险一金餐补带薪年假加班补助
执业律师,民营,20-99人,2019-09-20 14:01:20,本科,律师/法务/合规,不限,辽宁华君律师事务所,4K-6K,沈阳,五险一金餐补通讯补助节日福利
实习助理,股份制企业,100-499人,2019-09-20 13:36:03,大专,行政/后勤/文秘,不限,威海畅通船舶用品有限公司,2K-4K,威海,五险一金通讯补助弹性工作免费停车项目奖金
百度金融BD专员,民营,500-999人,2019-09-20 10:02:02,学历不限,销售业务,不限,百度营销（福建）服务中心,4K-6K,福州,五险一金年终分红带薪年假定期体检员工旅游
财务副经理（苏宁小店）,民营,1000-9999人,2019-09-20 09:13:00,本科,财务/审计/税务,5-10年,浙江苏宁易购商贸有限公司,10K-15K,杭州,餐补绩效奖金带薪年假周末双休五险一金
销售金融地推业务客户（晋江万达）,民营,1000-9999人,2019-09-20 09:59:07,大专,销售业务,不限,中安信业创业投资有限公司,4K-6K,泉州,五险一金年底双薪绩效奖金交通补助餐补
信贷专员,民营,1000-9999人,2019-09-20 09:49:08,大专,银行,不限,南昌传发金融信息服务有限公司,6K-8K,南昌,五险一金周末双休绩效奖金带薪年假节日福利
