职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
物业维修工(东海二期),民营,100-499人,2019-09-20 14:21:15,中技,物业管理,1-3年,上海安荣物业管理服务有限公司,4K-5K,上海-静安区,五险一金年底双薪加班补助餐补带薪年假
物业人事主管,民营,100-499人,2019-09-20 14:21:02,大专,人力资源,5-10年,四川省仙都物业服务有限责任公司,4K-6K,成都,绩效奖金带薪年假五险一金周末双休
物业副经理,民营,20-99人,2019-09-20 14:20:23,大专,物业管理,3-5年,京荟文化集团有限公司,8K-10K,北京,包吃包住
物业管家,民营,100-499人,2019-09-20 14:18:05,大专,物业管理,1-3年,黑龙江宏仁博瑞物业管理有限公司,3.5K-4K,哈尔滨-松北区,五险一金包吃带薪年假公司重点项目节日福利
总监 副总（物业运营/市场/项目方向）,民营,1000-9999人,2019-09-20 11:13:32,大专,互联网产品/运营管理,3-5年,广州越群环境工程服务有限公司,8K-15K,广州,弹性工作节日福利五险一金绩效奖金带薪年假
客服经理-服务集团-天津(J45865),上市公司,10000人以上,2019-09-20 14:14:18,学历不限,物业管理,5-10年,融创物业服务集团有限公司,15K-20K,天津-南开区,五险一金年底双薪包吃补充医疗保险
物业项目经理,股份制企业,20-99人,2019-09-20 14:13:23,大专,物业管理,1-3年,潍坊大川置业有限公司,4K-6K,潍坊,五险一金绩效奖金年终分红通讯补助节日福利
物业客服主管,民营,20-99人,2019-09-20 14:17:07,大专,物业管理,1-3年,京荟文化集团有限公司,6K-8K,北京,包吃包住
物业主管,民营,100-499人,2019-09-20 14:08:41,学历不限,物业管理,不限,许昌跃达房地产开发有限公司,4K-6K,许昌-鄢陵县,
出纳（物业行业-上地五街）,民营,1000-9999人,2019-09-20 14:26:26,大专,物业管理,1-3年,北京万通鼎安国际物业服务有限公司,4K-4.5K,北京-海淀区,五险一金年底双薪餐补带薪年假定期体检
物业经理,民营,不限,2019-09-20 11:35:02,大专,物业管理,3-5年,常德市阳光物业服务有限公司,4K-7K,常德,年底双薪绩效奖金年终分红五险一金包住
物业项目经理,民营,1000-9999人,2019-09-20 14:17:10,本科,物业管理,1-3年,河北飞鸿物业服务有限公司,6K-8K,石家庄,五险公司重点项目定期团建
山东涌金物业项目经理,国企,100-499人,2019-09-20 14:01:29,本科,项目管理/项目协调,3-5年,山东涌金物业有限公司,8K-12K,莱芜,五险一金绩效奖金交通补助餐补
物业经理,民营,100-499人,2019-09-20 14:24:17,大专,物业管理,3-5年,上海宝龙商业地产管理有限公司天津自贸试验区分公司,8K-10K,天津-滨海新区,五险一金餐补带薪年假节日福利绩效奖金
商业中心诚聘物业项目经理,民营,1000-9999人,2019-09-20 14:24:05,大专,物业管理,3-5年,山东凯瑞酒店管理咨询有限公司,8K-10K,济南,包吃包住每年多次调薪年底双薪全勤奖
物业财务会计（提供住宿）,合资,1000-9999人,2019-09-20 14:01:03,大专,财务/审计/税务,3-5年,广东康景物业服务有限公司,4.5K-6.5K,北京,五险一金餐补定期体检员工旅游节日福利
