浦东,1室2厅1厨1卫,高楼层(共15层),60,2014,简装,有,290,77,0,39,43,2229,281
浦东,1室1厅1厨1卫,高楼层(共6层),44.66,1993,毛坯,无,172,21,0,2,3,491,167.5
浦东,2室2厅1厨1卫,低楼层(共10层),94.53,2006,精装,有,420,14,1,4,3,396,412
浦东,2室1厅1厨1卫,高楼层(共6层),49.4,1995,精装,无,256,27,1,4,5,558,250
浦东,1室1厅1厨1卫,高楼层(共24层),50.27,1995,精装,有,265,55,1,10,15,646,256
浦东,2室2厅1厨1卫,中楼层(共18层),92.24,2012,精装,有,340,88,1,22,118,2339,325
浦东,1室1厅1厨1卫,中楼层(共25层),69.45,2006,精装,有,468,74,1,1,30,1106,450
浦东,1室2厅1厨1卫,中楼层(共14层),58.44,2014,精装,有,250,43,1,25,19,1411,235
浦东,3室1厅1厨1卫,中楼层(共6层),90.26,1994,简装,无,310,12,0,4,2,293,295
浦东,3室2厅1厨2卫,高楼层(共30层),151.16,2007,精装,有,1400,2,0,1,6,160,1420
浦东,1室1厅1厨1卫,高楼层(共6层),45.85,1997,精装,无,235,37,0,8,4,591,225
浦东,2室1厅1厨1卫,高楼层(共6层),50.06,1985,精装,无,121,653,1,62,258,13955,119
浦东,2室2厅1厨1卫,中楼层(共11层),99.31,2004,简装,有,630,10,0,3,8,220,605
浦东,2室2厅1厨1卫,高楼层(共6层),88.27,2003,精装,无,510,26,0,10,23,635,500
浦东,3室2厅1厨2卫,高楼层(共14层),130.1,2004,简装,有,765,87,1,16,28,1082,737
浦东,3室2厅1厨1卫,低楼层(共15层),108.66,2012,简装,有,393,230,1,47,91,7113,382.5
浦东,2室2厅1厨2卫,低楼层(共30层),150.93,2004,精装,有,1200,365,1,36,8,2915,1000
浦东,2室1厅1厨1卫,高楼层(共6层),57.29,1989,简装,无,280,70,1,31,103,2256,278
浦东,5室1厅1厨1卫,低楼层(共6层),78.27,未知,精装,无,270,246,1,19,80,6349,265
浦东,2室2厅1厨2卫,中楼层(共34层),113,2004,精装,有,1128,31,1,31,7,996,1080
浦东,1室1厅1厨1卫,低楼层(共6层),42.19,1989,简装,无,355,229,0,7,0,276,350
浦东,3室2厅1厨2卫,低楼层(共23层),118.27,2016,精装,暂无数据,568,12,1,3,13,387,568
浦东,1室1厅1厨1卫,高楼层(共6层),29.74,1982,精装,无,179,21,1,3,25,534,177
浦东,2室1厅1厨1卫,高楼层(共24层),76.17,1993,精装,有,640,381,1,41,100,6210,624
浦东,2室1厅1厨1卫,低楼层(共14层),82.84,2010,毛坯,有,310,78,0,2,25,1662,302.5
浦东,2室1厅1厨1卫,高楼层(共6层),70.24,2006,毛坯,无,240,77,1,2,5,341,239
浦东,2室1厅1厨1卫,中楼层(共6层),47.59,1978,精装,无,250,204,1,5,15,1081,225
浦东,1室2厅1厨1卫,低楼层(共6层),64.88,2008,简装,无,330,56,0,25,21,1885,320
浦东,3室2厅1厨3卫,中楼层(共49层),251.18,未知,精装,有,2100,61,1,18,11,931,2030
浦东,2室1厅1厨1卫,中楼层(共5层),54.5,1988,精装,无,245,10,0,14,4,228,236
浦东,1室1厅1厨1卫,高楼层(共5层),30.43,1985,精装,无,215,193,1,33,64,2490,208
浦东,2室2厅1厨1卫,高楼层(共6层),91.68,2003,精装,无,458,258,1,31,96,4363,440
浦东,3室2厅1厨2卫,中楼层(共11层),127.5,2010,精装,有,540,375,1,23,46,5452,530
浦东,2室1厅1厨1卫,高楼层(共6层),75.39,1993,精装,无,252,72,1,10,15,1323,242
浦东,2室2厅1厨1卫,低楼层(共14层),90.95,2009,简装,有,465,60,1,37,32,1554,455
浦东,2室1厅1厨1卫,低楼层(共6层),57.89,1994,简装,无,310,285,1,43,27,1343,295
浦东,2室2厅1厨1卫,低楼层(共6层),67.64,2004,精装,无,335,28,0,4,6,302,335.6
浦东,1室1厅1厨1卫,低楼层(共6层),50,2004,简装,无,205,24,0,5,4,428,202
浦东,1室1厅1厨1卫,高楼层(共5层),32.91,1980,精装,无,132,72,1,10,34,1527,124
浦东,2室1厅1厨1卫,中楼层(共14层),79,2014,毛坯,有,200,20,0,1,7,482,194
浦东,1室1厅1厨1卫,低楼层(共25层),53.73,1990,简装,有,365,527,1,149,103,15173,359.5
浦东,2室1厅1厨1卫,高楼层(共6层),65,1997,简装,无,350,61,1,7,17,683,341.8
浦东,4室2厅1厨2卫,中楼层(共17层),146.47,2007,精装,有,830,12,0,4,0,27,840
浦东,2室2厅1厨2卫,低楼层(共36层),119.66,2005,精装,有,1030,137,1,13,65,3072,1017
浦东,4室2厅1厨2卫,高楼层(共6层),156,1998,毛坯,无,160,207,1,7,31,1456,155
浦东,3室2厅1厨2卫,低楼层(共13层),115.13,2005,毛坯,有,600,164,1,12,26,2050,585
浦东,2室2厅1厨1卫,中楼层(共18层),99.6,2007,精装,有,640,40,1,12,0,10,630
浦东,1室1厅1厨1卫,低楼层(共6层),35,1987,精装,无,396,71,1,40,7,683,392
浦东,1室1厅1厨1卫,高楼层(共6层),36.79,1988,简装,无,200,11,0,2,1,155,192
浦东,3室2厅1厨1卫,高楼层(共18层),112.79,2007,精装,有,750,42,0,17,18,702,711.6
浦东,2室1厅1厨1卫,中楼层(共6层),49.48,1986,精装,无,475,58,1,53,41,1512,456
浦东,3室1厅2厨1卫,中楼层(共6层),105.48,1996,简装,无,520,31,0,16,43,1099,485
浦东,4室2厅1厨2卫,高楼层(共6层),163.08,2001,精装,无,1000,133,1,27,113,3592,950
浦东,2室2厅1厨1卫,中楼层(共6层),74.39,2004,简装,无,380,125,1,6,8,142,379
浦东,2室2厅1厨1卫,低楼层(共11层),82.42,2006,精装,有,275,49,1,15,40,1064,267
浦东,3室2厅1厨1卫,低楼层(共5层),81.55,2014,精装,无,295,49,1,9,19,514,276
浦东,2室1厅1厨1卫,高楼层(共6层),67.24,1996,简装,无,450,37,1,16,21,790,440
浦东,1室1厅1厨1卫,高楼层(共6层),32,1980,精装,无,155,60,1,15,30,1050,151.5
浦东,1室1厅1厨1卫,高楼层(共6层),44.48,1995,简装,无,285,5,0,1,2,110,278
浦东,1室1厅1厨1卫,中楼层(共6层),49.68,1996,简装,无,220,16,0,3,17,598,203
浦东,1室1厅1厨1卫,低楼层(共17层),57.64,2006,简装,有,270,79,1,7,4,148,265
浦东,3室1厅1厨1卫,中楼层(共6层),78.05,1995,简装,无,380,43,1,1,10,386,366
浦东,4室3厅1厨3卫,低楼层(共2层),302.86,2004,精装,无,2550,15,1,7,17,698,2475
浦东,2室2厅1厨1卫,中楼层(共4层),89.22,2004,简装,无,340,12,0,14,26,484,328
浦东,2室1厅1厨1卫,高楼层(共18层),73.43,1993,精装,有,620,24,0,3,5,472,608
浦东,2室2厅1厨1卫,低楼层(共12层),91.46,1999,简装,有,420,108,0,7,96,2500,398
浦东,2室1厅1厨1卫,高楼层(共18层),69.83,1993,精装,有,620,72,1,4,5,997,591
浦东,2室0厅1厨1卫,中楼层(共6层),45.94,1980,简装,无,440,4,0,2,3,152,430
浦东,2室1厅1厨1卫,中楼层(共6层),46.14,1984,精装,无,267,18,1,20,10,676,262
浦东,1室1厅1厨1卫,中楼层(共7层),52.48,1997,精装,无,255,3,0,4,10,108,252
浦东,2室1厅1厨1卫,中楼层(共5层),43.13,1977,简装,无,205,215,1,7,35,709,203
浦东,2室1厅1厨1卫,高楼层(共6层),77.34,2008,毛坯,无,172,45,1,7,18,1095,167.5
浦东,2室2厅1厨1卫,高楼层(共6层),70.64,2010,精装,有,480,49,1,4,50,827,475
浦东,2室2厅1厨1卫,低楼层(共15层),74.3,2012,简装,有,312,186,1,42,84,4981,304
浦东,2室1厅1厨1卫,中楼层(共6层),75.26,2007,毛坯,无,202,16,1,0,1,96,199
浦东,1室1厅1厨1卫,高楼层(共6层),34.69,1982,精装,无,218,100,1,49,33,2198,215
浦东,2室1厅1厨1卫,中楼层(共18层),64.03,1990,精装,暂无数据,365,17,1,4,7,239,332
浦东,1室1厅1厨1卫,中楼层(共6层),37.72,1985,精装,无,485,12,1,1,0,198,477
浦东,1室1厅1厨1卫,高楼层(共12层),46.89,1987,简装,有,400,8,0,1,0,5,400
浦东,2室2厅1厨1卫,中楼层(共13层),86.83,2010,简装,有,385,139,0,17,18,1018,382
浦东,2室1厅1厨1卫,低楼层(共6层),67.53,1996,简装,无,358,12,1,22,10,1044,353
浦东,1室1厅1厨1卫,高楼层(共6层),42.43,1991,精装,无,260,186,1,24,27,4124,247
浦东,3室2厅1厨2卫,低楼层(共11层),128.05,2000,精装,有,955,153,1,14,17,2502,900
浦东,3室1厅1厨1卫,中楼层(共18层),81.72,2013,精装,有,638,129,1,49,54,2722,626
浦东,2室1厅1厨1卫,高楼层(共6层),60.88,1994,精装,无,415,52,1,7,52,1638,401
浦东,1室1厅1厨1卫,中楼层(共6层),39.88,1989,简装,无,320,215,0,4,0,55,313
浦东,1室2厅1厨1卫,中楼层(共29层),71.37,1994,精装,有,470,317,1,37,36,3244,465
浦东,2室2厅1厨1卫,高楼层(共11层),84.98,2009,简装,有,445,32,0,48,33,978,425
浦东,2室1厅1厨1卫,高楼层(共6层),67.71,1994,简装,无,530,9,0,7,8,166,520
浦东,1室1厅1厨1卫,高楼层(共6层),45.01,未知,简装,无,360,136,0,53,10,1528,350
浦东,1室1厅1厨1卫,高楼层(共6层),41.63,未知,简装,无,350,23,0,7,3,509,337
浦东,1室1厅1厨1卫,低楼层(共6层),32.51,1984,其他,无,200,165,1,2,0,3,197
浦东,3室1厅1厨1卫,中楼层(共6层),72.27,1994,简装,无,430,16,1,6,13,504,419
浦东,2室1厅1厨1卫,高楼层(共7层),68.52,1997,精装,无,385,15,1,1,4,176,372.5
浦东,1室1厅1厨1卫,中楼层(共6层),43.18,1991,简装,无,215,23,0,6,18,588,202
浦东,2室1厅1厨1卫,高楼层(共6层),53.71,1984,简装,无,258,34,0,11,13,556,246
浦东,2室1厅1厨1卫,高楼层(共6层),54.67,1988,精装,无,253,83,1,69,239,3078,252
浦东,1室1厅1厨1卫,低楼层(共6层),27.89,1986,简装,无,178,24,1,7,10,401,166
浦东,2室1厅1厨1卫,中楼层(共6层),57.18,1992,简装,无,275,49,0,10,37,1027,270
浦东,1室1厅1厨1卫,中楼层(共25层),69.45,2006,精装,有,480,260,1,29,196,5951,450
浦东,2室1厅1厨1卫,高楼层(共6层),59.23,1995,精装,无,298,34,1,2,1,112,290
浦东,1室1厅1厨1卫,中楼层(共14层),53.91,2010,简装,有,225,206,1,27,14,1023,225
浦东,1室1厅1厨1卫,高楼层(共25层),62.11,1997,精装,有,350,46,1,2,16,1035,330
浦东,1室1厅1厨1卫,中楼层(共6层),53.63,2003,精装,无,434,79,1,50,69,2462,419.5
浦东,2室1厅1厨1卫,中楼层(共6层),65.68,1994,精装,无,345,319,1,32,48,2014,335
浦东,3室2厅2厨2卫,高楼层(共25层),141.54,2002,精装,有,1350,353,1,219,198,16611,1300
浦东,2室2厅1厨1卫,高楼层(共18层),92.65,2015,精装,有,215,4,0,1,3,102,215
浦东,2室1厅1厨1卫,高楼层(共6层),70.54,2010,其他,无,450,2,0,0,1,30,446
浦东,2室2厅1厨1卫,中楼层(共7层),88.27,2006,精装,有,560,41,0,17,34,1106,540
浦东,2室2厅1厨1卫,高楼层(共6层),69.88,1994,简装,无,560,43,1,10,13,1076,547
